COUNTY_NAME,PARTY_NAME,Adult Film Condom Requirements,Ban on Single-use Plastic Bags,Carryout Bag Charges,Cigarette Tax,Corporate Political Spending Advisory Question,Criminal Sentences & Juvenile Crime Proceedings,Death Penalty Procedure Time Limits,English Proficiency. Multilingual Education.,Firearms and Ammunition Sales,K-12 and Community College Facilities,Legislative Procedure Requirements,Marijuana Legalization,Medi-Cal Hospital Fee Program,Repeal of Death Penalty,State Prescription Drug Purchase Standards,Tax Extension for Education and Healthcare,Voter Approval of Revenue Bonds
Glenn,Republican,0.37841424306093113,0.3565840220385675,0.34340718434071843,0.4459488272921109,0.3942966206354553,0.4688553103598217,0.5501621742534392,0.6412749864937871,0.2936423559430151,0.42978221220899043,0.6407211961301671,0.4664834002960457,0.5665436387320886,0.27605845690952074,0.2851244159513202,0.5125813449023862,0.5498138821983797
Humboldt,Democratic,0.38382146330919703,0.6065948024305675,0.4135023297864942,0.5956663313841485,0.6122773362565086,0.6776230626596228,0.41391535563926435,0.7781832216413459,0.5216040908778914,0.505633363377938,0.6230504138984616,0.5844536540988577,0.6899465879541781,0.5141343682802748,0.552872560776191,0.6878110531152999,0.46799204058584154
Imperial,Democratic,0.6079460599139067,0.5060225132495292,0.5575642665020504,0.7151933938045525,0.4875308424391963,0.6400342355836097,0.542014830081319,0.7945781974322275,0.6429827417779225,0.6633750889372804,0.6587365797126801,0.4531033287101248,0.6812578398719668,0.45335409368106916,0.5146122590878474,0.6920972120480889,0.6166274647732518
Inyo,Republican,0.42710827347698854,0.44495180111618465,0.3795582948125321,0.5129507993555583,0.4643243243243243,0.5535600560438161,0.4938438641591124,0.6600458365164248,0.3850798842621713,0.43073759958879465,0.6052459016393442,0.5490390576565406,0.5938909653305838,0.3498341413625925,0.3822610054701745,0.5438821268417681,0.502889414236932
Kern,Republican,0.4783192820002636,0.3626421037640219,0.3551646848763439,0.4865632915302403,0.39806103194742665,0.5147338860545997,0.559076630053046,0.6264168943600387,0.40950648983141835,0.5193472843796618,0.6347814619121763,0.4630263919913957,0.6161617439869066,0.30879450160300065,0.3548469106717626,0.5467760765590282,0.5435384114583334
Kings,Republican,0.46324942791762014,0.3349167199537164,0.3384605937797427,0.4928419309039281,0.36170741557674985,0.4486190817790531,0.5337448174818417,0.6497886500584585,0.4071221457049656,0.5135635202482915,0.6353237034992486,0.43587057379747973,0.6016744970485484,0.30223222431725566,0.3183123548820726,0.5568178402909266,0.5211790858430525
Lake,Democratic,0.4148469738651995,0.4717505793132505,0.40533006715377795,0.5116450713465639,0.500109808055519,0.6062108669159978,0.5088972650771388,0.6846600471221811,0.4230387699429611,0.49670524626172174,0.5916444367954565,0.5859030837004405,0.6542234679577016,0.38320802005012533,0.4339518725639722,0.634527166365052,0.4749282747398621
Lassen,Republican,0.3143939393939394,0.28250095310712925,0.2628223703274413,0.3921401515151515,0.37754085292945394,0.3401804569015166,0.600727916584694,0.5739974997595922,0.1850624763347217,0.3605331287755298,0.6436770428015565,0.45607917059377945,0.5190167424755637,0.20631881282910483,0.3868361414917726,0.45964709285507666,0.5951523410882897
Los Angeles,Democratic,0.5183349175989139,0.5696642749111885,0.501574366374893,0.6891212219786608,0.5456139366932504,0.6774934587446337,0.49411801318547943,0.7679586523189759,0.7195947620538615,0.5866255680456265,0.6540266474724875,0.5954072484977627,0.7415774050595303,0.5229766391940485,0.5109066863354873,0.6747670812022907,0.45865604860704096
Madera,Republican,0.4236411120060531,0.33861446921042687,0.3193615148559602,0.4760534620382402,0.38184736972091876,0.423836960144755,0.5152730563232165,0.6085426179604262,0.38598497223129696,0.4559397855570546,0.638541766798039,0.44754921237075246,0.59134443995532,0.3211123669586512,0.3197070224251504,0.524127989412988,0.5168981314912091
Marin,Democratic,0.3593697025735861,0.7436018782120013,0.4640151800370465,0.7645086462932585,0.7133028425684664,0.8008900500376389,0.38163993437714033,0.815802161448482,0.8020569862454534,0.5610037003462574,0.6323481700063343,0.6960797082573587,0.7630630357737861,0.6744479588957693,0.5563564977187374,0.6686200237670826,0.3537082001475289
Mariposa,Republican,0.33137898686679174,0.40736112688856074,0.3217697907188353,0.4190507873142604,0.43699476937708037,0.4756719972779857,0.5016489988221436,0.6000907338096858,0.3149792111473199,0.41197822141560797,0.6447885370926739,0.5135105081730235,0.5735697940503433,0.3312918226154021,0.3186483681236305,0.5161399932042134,0.5132232359394849
Mendocino,Democratic,0.3758175510436217,0.6376042039232949,0.43703765043612675,0.6070348261370024,0.633461703038083,0.6898762035763412,0.4050847954072816,0.7559603830009054,0.5199913492471142,0.5271204650009642,0.6091664068478785,0.542676417209352,0.7054474708171207,0.5083445233071168,0.5116729333857118,0.6988870170399625,0.4357354280510018
Merced,Democratic,0.5058191318805296,0.4095496837707959,0.4084476090014065,0.5566505261065277,0.4289786008354572,0.5615890790499004,0.536258141798308,0.7124259669548344,0.5138944882796752,0.6024823981998984,0.6548146386419716,0.5147925608011444,0.6712373010746374,0.3707083813217092,0.3724032586558045,0.639394604079842,0.5609541689016032
Modoc,Republican,0.3454494223724993,0.2721233058729737,0.23719165085388993,0.3699788583509514,0.37095435684647304,0.42891630901287553,0.52462645268400665,0.591262396140445,0.19989423585404548,0.3151271753681392,0.5888738127544098,0.4619836885030255,0.5123006217896728,0.23198077949813134,0.3007579859231186,0.4350614644575094,0.5051518438177874
Mono,Democratic,0.33518445061483537,0.6103526734926052,0.47956823438704704,0.6195387211700731,0.5281718686663964,0.6778846153846154,0.47745358090185674,0.7309167625623322,0.4813066465256798,0.46362940275650844,0.6026097271648873,0.6157718120805369,0.6210383044915418,0.42636556649295504,0.46941621837019326,0.592734960599654,0.49462579617834396
Monterey,Democratic,0.43658769390748314,0.6320499252988048,0.5268085837446117,0.6801107642271433,0.5718192003635424,0.7025066782630304,0.477018653637702,0.767806875373198,0.6567810026385225,0.6466843666061143,0.5924174383022692,0.6264027489762459,0.7307647118721068,0.5169084332762232,0.49986444301571686,0.6870965730144376,0.4874488316901072
Napa,Democratic,0.4297022827879524,0.6281619174071427,0.5062607499140007,0.6587587903775498,0.5610896595699458,0.6932268907563025,0.4882778423960454,0.7678406631206269,0.6263496381374574,0.5073346108840537,0.6230775929635113,0.6115310335641981,0.675604644771197,0.48959412854011997,0.4786743714098992,0.6289019494927254,0.47713610618854024
Nevada,Democratic,0.33174502937405514,0.5461899695491067,0.4432284795897512,0.5572495502534934,0.5446348935510141,0.6065649904330218,0.5324312714776632,0.6681566743029558,0.47794279025532227,0.4213206460126006,0.6728628079005567,0.5294000902119982,0.6943281668363691,0.4396258976785615,0.44100350586195197,0.5829106370281963,0.5357925423470458
